Order_ID,Order_Date,Customer_ID,Segment,Region,Category,Product_Name,Unit_Price,Quantity,Discount,Sales,Profit
ORD-2024-0001,2024-01-21,CUST-199,Corporate,North America,Technology,Ergonomic Mouse,345.02,1,,293.27,26.94
ORD-2024-0002,2024-10-20,CUST-188,Small Business,North America,Technology,"Ultra HD Monitor 27""",150.97,2,0.05,286.85,99.22
ORD-2024-0003,2024-07-06,CUST-154,Consumer,Europe,Technology,"Ultra HD Monitor 27""",607.95,3,0.0,1823.86,514.5
ORD-2024-0004,2024-01-21,CUST-108,Corporate,North America,Furniture,Ergonomic Mesh Chair,465.35,5,0.05,2210.41,168.43
ORD-2024-0005,2024-09-20,CUST-101,Consumer,Asia Pacific,Technology,Wireless Noise-Canceling Headphones,192.99,1,0.05,183.34,60.54
ORD-2024-0006,2024-07-09,CUST-194,Consumer,Europe,Office Supplies,Desk Organizer Tray,154.77,1,0.15,131.55,32.87
ORD-2024-0007,2024-10-22,CUST-223,Consumer,North America,Furniture,Modern Lounge Sofa,741.17,2,0.05,1408.23,303.16
ORD-2024-0008,2024-11-22,CUST-180,Consumer,Latin America,Technology,Ergonomic Mouse,679.25,1,0.0,679.25,184.13
ORD-2024-0009,2024-08-18,CUST-132,Consumer,Asia Pacific,Office Supplies,Premium Gel Pens (Pack of 12),124.17,4,0.0,496.69,237.79
ORD-2024-0010,2024-12-25,CUST-230,Corporate,North America,Technology,4K Web Camera,493.4,1,0.2,394.72,49.85
ORD-2024-0011,2024-10-09,CUST-162,Consumer,North America,Furniture,Solid Wood Bookcase,515.91,1,0.0,515.91,101.61
ORD-2024-0012,2024-08-09,CUST-112,Corporate,North America,Furniture,Ergonomic Mesh Chair,247.53,2,0.0,495.06,113.27
ORD-2024-0013,2024-06-18,CUST-143,Small Business,Asia Pacific,Technology,"Ultra HD Monitor 27""",1160.15,4,0.1,4176.54,993.15
ORD-2024-0014,2024-12-13,CUST-220,Small Business,Europe,Office Supplies,Desk Organizer Tray,77.01,1,0.05,73.16,32.86
ORD-2024-0015,2024-05-16,CUST-158,Consumer,North America,Furniture,Ergonomic Mesh Chair,489.38,1,0.0,489.38,119.72
ORD-2024-0016,2024-02-21,CUST-180,Consumer,Europe,Technology,Smart Laptop Pro,458.6,3,0.0,1375.79,447.59
ORD-2024-0017,2024-08-11,CUST-167,Consumer,Europe,Technology,Wireless Noise-Canceling Headphones,1285.33,1,0.0,1285.33,312.49
ORD-2024-0018,2024-11-20,CUST-196,Small Business,North America,Technology,"Ultra HD Monitor 27""",940.38,2,0.0,1880.76,590.63
ORD-2024-0019,2024-05-27,CUST-247,Consumer,North America,Technology,"Ultra HD Monitor 27""",557.45,3,0.1,1505.12,233.54
ORD-2024-0020,2024-02-08,CUST-141,Consumer,Middle East,Office Supplies,Heavy Duty Binder,169.88,1,0.0,169.88,48.31
ORD-2024-0021,2024-02-29,CUST-108,Small Business,North America,Technology,Mechanical Keyboard,476.04,8,0.05,3617.88,1254.17
ORD-2024-0022,2024-05-31,CUST-203,Small Business,Asia Pacific,Technology,"Ultra HD Monitor 27""",655.64,4,0.15,2229.16,550.21
ORD-2024-0023,2024-06-01,CUST-167,Small Business,Europe,Office Supplies,Premium Gel Pens (Pack of 12),20.81,2,0.05,39.54,10.0
ORD-2024-0024,2024-05-14,CUST-218,Consumer,North America,Technology,Ergonomic Mouse,1051.17,2,0.05,1997.23,431.93
ORD-2024-0025,2024-09-20,CUST-160,Consumer,Middle East,Technology,4K Web Camera,938.92,2,0.05,1783.96,550.34
ORD-2024-0026,2024-01-17,CUST-223,Corporate,North America,Office Supplies,Heavy Duty Binder,179.13,1,0.15,152.26,38.96
ORD-2024-0027,2024-04-08,CUST-166,Small Business,Europe,Technology,Ergonomic Mouse,1375.41,1,0.0,1375.41,293.74
ORD-2024-0028,2024-11-18,CUST-226,Small Business,Europe,Technology,Smart Laptop Pro,862.58,2,0.2,1380.12,30.18
ORD-2024-0029,2024-10-25,CUST-149,Small Business,North America,Office Supplies,Standing Desk Converter,133.43,1,0.0,133.43,51.8
ORD-2024-0030,2024-02-05,CUST-214,Consumer,North America,Furniture,Filing Cabinet 3-Drawer,708.81,3,0.1,1913.78,291.31
ORD-2024-0031,2024-12-07,CUST-157,Consumer,Europe,Technology,Mechanical Keyboard,560.19,10,0.1,5041.72,716.53
ORD-2024-0032,2024-04-10,CUST-105,Consumer,North America,Technology,Mechanical Keyboard,802.8,1,0.05,762.66,231.69
ORD-2024-0033,2024-11-03,CUST-219,Corporate,Europe,Technology,Mechanical Keyboard,315.93,3,,947.8,354.97
ORD-2024-0034,2024-04-26,CUST-221,Consumer,Asia Pacific,Technology,Mechanical Keyboard,251.09,3,,753.27,208.73
ORD-2024-0035,2024-03-29,CUST-168,Consumer,North America,Technology,Wireless Noise-Canceling Headphones,975.25,8,0.1,7021.77,1173.32
ORD-2024-0036,2024-03-26,CUST-243,Consumer,North America,Office Supplies,Premium Gel Pens (Pack of 12),22.3,1,0.0,22.3,6.22
ORD-2024-0037,2024-08-09,CUST-237,Consumer,Europe,Technology,Ergonomic Mouse,962.22,5,0.15,4089.43,282.18
ORD-2024-0038,2024-01-04,CUST-183,Corporate,Europe,Office Supplies,Standing Desk Converter,118.54,5,0.15,503.78,199.13
